"","Date","Hospitals reporting","Hospitalized daily","Hospitalized daily, no weekend","7-day average","14-day average","Average per hospital","7-day change","14-day change","21-day change"
"1",2020-03-25,102,91,91,NA,NA,1,NA,NA,NA
"2",2020-03-26,104,106,106,NA,NA,1,NA,NA,NA
"3",2020-03-27,104,112,112,NA,NA,1,NA,NA,NA
"4",2020-03-28,99,134,NA,NA,NA,1,NA,NA,NA
"5",2020-03-29,94,158,NA,NA,NA,2,NA,NA,NA
"6",2020-03-30,107,156,156,NA,NA,1,NA,NA,NA
"7",2020-03-31,105,172,172,133,NA,2,NA,NA,NA
"8",2020-04-01,103,258,258,157,NA,3,167,NA,NA
"9",2020-04-02,105,226,226,174,NA,2,120,NA,NA
"10",2020-04-03,101,238,238,192,NA,2,126,NA,NA
"11",2020-04-04,84,238,NA,207,NA,3,104,NA,NA
"12",2020-04-05,88,282,NA,224,NA,3,124,NA,NA
"13",2020-04-06,107,297,297,244,NA,3,141,NA,NA
"14",2020-04-07,107,302,302,263,198,3,130,NA,NA
"15",2020-04-08,103,308,308,270,213,3,50,217,NA
"16",2020-04-09,103,324,324,284,229,3,98,218,NA
"17",2020-04-10,100,350,350,300,246,4,112,238,NA
"18",2020-04-11,87,343,NA,315,261,4,105,209,NA
"19",2020-04-12,83,290,NA,316,270,3,8,132,NA
"20",2020-04-13,105,380,380,328,286,4,83,224,NA
"21",2020-04-14,108,380,380,339,301,4,78,208,NA
"22",2020-04-15,106,402,402,353,311,4,94,144,311
"23",2020-04-16,105,360,360,358,321,3,36,134,254
"24",2020-04-17,102,364,364,360,330,4,14,126,252
"25",2020-04-18,81,359,NA,362,339,4,16,121,225
"26",2020-04-19,84,360,NA,372,344,4,70,78,202
"27",2020-04-20,103,397,397,375,351,4,17,100,241
"28",2020-04-21,103,401,401,378,358,4,21,99,229
"29",2020-04-22,107,440,440,383,368,4,38,132,182
"30",2020-04-23,103,406,406,390,374,4,46,82,180
"31",2020-04-24,106,429,429,399,379,4,65,79,191
"32",2020-04-25,80,351,NA,398,380,4,-8,8,113
"33",2020-04-26,77,384,NA,401,387,5,24,94,102
"34",2020-04-27,102,426,426,405,390,4,29,46,129
"35",2020-04-28,109,530,530,424,401,5,129,150,228
"36",2020-04-29,105,498,498,432,408,5,58,96,190
"37",2020-04-30,97,495,NA,445,417,5,89,135,171
"38",2020-05-01,97,495,495,454,426,5,66,131,145
"39",2020-05-02,70,420,NA,464,431,6,69,61,77
"40",2020-05-03,66,427,NA,470,436,6,43,67,137
"41",2020-05-04,100,517,517,483,444,5,91,120,137
"42",2020-05-05,105,522,522,482,453,5,-8,121,142
"43",2020-05-06,102,485,485,480,456,5,-13,45,83
"44",2020-05-07,100,502,502,481,463,5,7,96,142
"45",2020-05-08,100,481,481,479,467,5,-14,52,117
