"","County","Date","County name","FIPS","Fully vaccinated, all ages","Fully vaccinated","Received at least 1 dose, all ages","Received at least 1 dose","Fully vaccinated, 5+","Fully vaccinated, 12+","Fully vaccinated, 18+","Fully vaccinated, 65+","Geometry"
"1","Autauga",2023-01-11,"Autauga County","01001","45.9","25659","57.8","32309","48.7","52.4","54.1","74.1","MULTIPOLYGON (((-86.9176 32.66417, -86.81657 32.66012, -86.77153 32.66072, -86.71339 32.66173, -86.71422 32.70569, -86.52443 32.70706, -86.41312 32.70739, -86.41245 32.57932, -86.41223 32.52875, -86.41117 32.40994, -86.44472 32.39984, -86.45627 32.40584, -86.46128 32.40347, -86.46356 32.37729, -86.4919 32.36433, -86.49677 32.34444, -86.53253 32.33877, -86.54254 32.36352, -86.57055 32.37501, -86.58187 32.37502, -86.59533 32.36135, -86.61484 32.37427, -86.61345 32.39858, -86.618 32.40572, -86.65342 32.39725, -86.6556 32.37615, -86.68354 32.3534, -86.71134 32.36077, -86.71903 32.37206, -86.7179 32.40281, -86.72718 32.4045, -86.74998 32.3891, -86.77836 32.3946, -86.78045 32.3686, -86.77316 32.34073, -86.79827 32.30863, -86.81611 32.30997, -86.82092 32.33324, -86.81491 32.3408, -86.80738 32.35436, -86.8154 32.37082, -86.82724 32.37882, -86.84376 32.40042, -86.84545 32.41542, -86.82439 32.42472, -86.8499 32.43832, -86.86709 32.43919, -86.86006 32.45086, -86.87021 32.46897, -86.8852 32.48244, -86.87899 32.48732, -86.89083 32.51374, -86.90675 32.5373, -86.8983 32.56769, -86.91882 32.64428, -86.9176 32.66417)))"
"2","Baldwin",2023-01-11,"Baldwin County","01003","53.2","118686","66.7","148843","56.2","60.7","63.2","88.4","MULTIPOLYGON (((-88.02927 30.22271, -88.02399 30.23039, -87.96685 30.23562, -87.94898 30.25656, -87.93604 30.26147, -87.91825 30.25331, -87.91376 30.24784, -87.90046 30.24153, -87.8932 30.23924, -87.87934 30.23859, -87.86008 30.24029, -87.81774 30.25429, -87.80209 30.25305, -87.78775 30.25424, -87.76663 30.26235, -87.75526 30.27729, -87.75552 30.29122, -87.77276 30.3117, -87.79672 30.3242, -87.80927 30.3327, -87.82988 30.35381, -87.83138 30.35697, -87.83724 30.36932, -87.84513 30.37745, -87.85381 30.37848, -87.86502 30.38345, -87.90634 30.40938, -87.90891 30.41424, -87.91414 30.44614, -87.92003 30.47064, -87.92421 30.4761, -87.9319 30.4811, -87.93335 30.48736, -87.91114 30.52585, -87.90534 30.53757, -87.90217 30.54919, -87.90171 30.55088, -87.90417 30.56598, -87.90789 30.57311, -87.91143 30.57626, -87.91496 30.58589, -87.91253 30.6158, -87.91935 30.63606, -87.93107 30.65269, -87.93672 30.65743, -87.95599 30.65886, -87.9812 30.67509, -87.99078 30.67857, -88.0084 30.68496, -88.001 30.69829, -88.02632 30.75336, -88.0222 30.77219, -88.0167 30.78109, -87.9906 30.79415, -87.98707 30.81144, -87.94455 30.82705, -87.95448 30.84941, -87.98097 30.86187, -87.98693 30.87518, -87.95449 30.91877, -87.95231 30.92488, -87.92429 30.9354, -87.94355 30.96177, -87.96519 30.96778, -87.95662 30.98978, -87.9648 31.00819, -87.95051 31.02209, -87.95735 31.02937, -87.94115 31.04816, -87.9487 31.06786, -87.96324 31.06803, -87.97622 31.08953, -87.94658 31.12168, -87.94012 31.14724, -87.96628 31.14826, -87.97287 31.16269, -87.94132 31.16305, -87.94659 31.19293, -87.91364 31.18736, -87.90624 31.19916, -87.88958 31.20435, -87.87917 31.198, -87.86977 31.21576, -87.85995 31.20463, -87.8485 31.20838, -87.86359 31.22611, -87.86007 31.2354, -87.83592 31.23105, -87.84463 31.23933, -87.8371 31.24725, -87.84928 31.26001, -87.8337 31.25908, -87.82831 31.2753, -87.81822 31.27862, -87.8015 31.26981, -87.78552 31.27579, -87.78578 31.28294, -87.80897 31.30664, -87.80402 31.31902, -87.79563 31.30274, -87.77158 31.29372, -87.76515 31.29735, -87.71429 31.30212, -87.67642 31.26199, -87.63223 31.24293, -87.61589 31.24446, -87.61542 31.041, -87.61543 30.99736, -87.59883 30.99742, -87.59894 30.99742, -87.59918 30.99569, -87.59673 30.98758, -87.5934 30.98292, -87.59269 30.98011, -87.59417 30.97754, -87.59412 30.9763, -87.59305 30.97293, -87.59093 30.96938, -87.5892 30.96443, -87.59206 30.95146, -87.5969 30.9411, -87.59831 30.93876, -87.6007 30.93704, -87.60269 30.93424, -87.60782 30.92446, -87.60827 30.92187, -87.61021 30.9166, -87.61185 30.91451, -87.61422 30.9085, -87.61496 30.9042, -87.61602 30.90142, -87.62072 30.8989, -87.62221 30.89748, -87.62252 30.89365, -87.62093 30.88989, -87.62079 30.88746, -87.62207 30.88538, -87.62441 30.88467, -87.62946 30.88008, -87.62999 30.87766, -87.63494 30.86586, -87.62825 30.8601, -87.62623 30.8571, -87.62538 30.85433, -87.6265 30.85185, -87.62733 30.84793, -87.62608 30.84647, -87.62414 30.84568, -87.61729 30.84033, -87.61537 30.837, -87.61593 30.83467, -87.61099 30.8326, -87.60578 30.83128, -87.60358 30.8286, -87.60164 30.82511, -87.60049 30.8206, -87.5943 30.81696, -87.58788 30.81501, -87.58188 30.81238, -87.57686 30.80814, -87.57205 30.80051, -87.56815 30.79906, -87.56422 30.79622, -87.56007 30.79223, -87.55949 30.79042, -87.55485 30.7871, -87.55296 30.78692, -87.55206 30.78623, -87.54505 30.77864, -87.54537 30.77408, -87.54617 30.772, -87.54227 30.76748, -87.53709 30.76251, -87.53654 30.76136, -87.53542 30.75474, -87.53537 30.74975, -87.53261 30.74347, -87.52362 30.73828, -87.51174 30.73351, -87.50516 30.72629, -87.50233 30.72157, -87.49752 30.7201, -87.49678 30.72033, -87.48704 30.71848, -87.48123 30.71649, -87.47983 30.71493, -87.47959 30.71284, -87.47444 30.70657, -87.47041 30.70526, -87.46773 30.70166, -87.46635 30.70082, -87.45696 30.69754, -87.45141 30.69979, -87.44937 30.69889, -87.44359 30.69459, -87.44229 30.69266, -87.43982 30.69046, -87.43603 30.68865, -87.43038 30.68863, -87.4249 30.68336, -87.41954 30.67996, -87.41275 30.67804, -87.40697 30.67515, -87.40657 30.674, -87.40713 30.67178, -87.40589 30.6666, -87.40072 30.65713, -87.40019 30.6572, -87.39727 30.65433, -87.39619 30.65044, -87.3972 30.6481, -87.39595 30.64395, -87.3936 30.63087, -87.39379 30.62699, -87.39449 30.62518, -87.39567 30.62336, -87.39644 30.61772, -87.39644 30.6169, -87.39507 30.61589, -87.39504 30.61527, -87.39732 30.60871, -87.39928 30.6056, -87.40119 30.60438, -87.40461 30.60337, -87.40657 30.59991, -87.40875 30.58369, -87.41272 30.57321, -87.41452 30.57344, -87.41627 30.57244, -87.41836 30.57003, -87.41852 30.56955, -87.41696 30.56799, -87.41667 30.56629, -87.41866 30.56182, -87.42094 30.56066, -87.42242 30.56043, -87.42281 30.56137, -87.42337 30.56141, -87.42605 30.56006, -87.4279 30.55415, -87.43145 30.55025, -87.43497 30.54959, -87.43545 30.54913, -87.44659 30.52706, -87.44643 30.5203, -87.44495 30.51493, -87.44519 30.51397, -87.44651 30.51356, -87.44731 30.51262, -87.44779 30.5119, -87.44771 30.51045, -87.44472 30.50748, -87.44323 30.50677, -87.4397 30.50664, -87.43828 30.50535, -87.43119 30.49579, -87.43059 30.49109, -87.43299 30.48489, -87.43558 30.48049, -87.43469 30.47919, -87.43159 30.47769, -87.43059 30.47659, -87.42959 30.47059, -87.42509 30.46559, -87.41468 30.45729, -87.40788 30.45639, -87.40469 30.45289, -87.39989 30.45099, -87.39689 30.45059, -87.39198 30.45159, -87.38119 30.45009, -87.37078 30.44686, -87.36869 30.44462, -87.36695 30.44047, -87.3666 30.43664, -87.3682 30.4334, -87.37118 30.43048, -87.38208 30.42289, -87.38435 30.42163, -87.38638 30.42049, -87.39568 30.41759, -87.39878 30.41509, -87.40178 30.41139, -87.40348 30.41019, -87.40888 30.40879, -87.41318 30.40899, -87.41918 30.41019, -87.42268 30.41009, -87.42618 30.40919, -87.42958 30.40649, -87.43069 30.40484, -87.43178 30.40319, -87.43428 30.39749, -87.43728 30.39589, -87.44068 30.39149, -87.44118 30.38859, -87.44088 30.38669, -87.43868 30.38209, -87.43868 30.38079, -87.44183 30.3763, -87.44908 30.3704, -87.45138 30.3672, -87.45188 30.365, -87.45198 30.3603, -87.45097 30.34626, -87.45228 30.3441, -87.45998 30.3363, -87.46298 30.334, -87.46488 30.3333, -87.48126 30.32657, -87.49064 30.32323, -87.49616 30.31799, -87.49285 30.3118, -87.48567 30.30894, -87.46414 30.3118, -87.4669 30.30226, -87.50941 30.29219, -87.51838 30.2839, -87.51832 30.28043, -87.54453 30.27566, -87.5581 30.27444, -87.58136 30.26926, -87.65689 30.24971, -87.73553 30.24068, -87.80056 30.22936, -87.83846 30.22718, -87.92612 30.23037, -87.96225 30.22952, -88 30.22575, -88.01457 30.22237, -88.0284 30.22113, -88.02927 30.22271)))"
"3","Barbour",2023-01-11,"Barbour County","01005","47.3","11679","57.6","14221","49.9","53.5","55.5","74.5","MULTIPOLYGON (((-85.74142 31.61961, -85.72983 31.63237, -85.71615 31.6605, -85.71791 31.69803, -85.70612 31.70724, -85.70511 31.73171, -85.6956 31.74783, -85.67412 31.75863, -85.66269 31.78332, -85.67414 31.80814, -85.66831 31.83449, -85.67759 31.85678, -85.65767 31.88027, -85.64877 31.91161, -85.60477 31.96085, -85.59255 31.99426, -85.58054 31.99695, -85.51236 31.99969, -85.51264 32.01405, -85.42848 32.01495, -85.43031 32.05196, -85.42744 32.13935, -85.41024 32.14665, -85.25783 32.14793, -85.25978 32.13854, -85.23626 32.12366, -85.22912 32.10271, -85.19575 32.08184, -85.19141 32.06459, -85.18507 32.06171, -85.04934 32.06244, -85.05382 32.0135, -85.0632 31.99186, -85.07533 31.96386, -85.08213 31.94466, -85.11993 31.89326, -85.12984 31.88351, -85.14183 31.83926, -85.13123 31.81526, -85.13653 31.78896, -85.13384 31.78035, -85.12869 31.76388, -85.14843 31.77347, -85.18831 31.74644, -85.20603 31.74181, -85.20951 31.71047, -85.21608 31.70241, -85.41604 31.70666, -85.41644 31.61947, -85.46704 31.62057, -85.58544 31.61756, -85.74825 31.61805, -85.74142 31.61961)))"
"4","Bibb",2023-01-11,"Bibb County","01007","36.3","8132","43.7","9788","38.4","41.1","42.6","63.5","MULTIPOLYGON (((-87.42194 33.00338, -87.31854 33.00618, -87.31788 33.0246, -87.31158 33.09393, -87.28194 33.13306, -87.19932 33.13066, -87.19915 33.19655, -87.15207 33.23248, -87.1435 33.23619, -87.12187 33.23584, -87.12151 33.22147, -87.1041 33.22146, -87.07664 33.24683, -87.06574 33.24691, -87.02685 33.24646, -87.0256 33.16579, -86.9888 33.16184, -86.96956 33.15814, -86.96931 33.10405, -86.95088 33.09858, -86.95166 33.07874, -86.93399 33.0788, -86.93397 33.06406, -86.88118 33.0499, -86.87687 33.04993, -86.87622 32.90193, -86.87622 32.84784, -86.87612 32.83626, -87.01916 32.83703, -87.09818 32.83601, -87.21253 32.83517, -87.23329 32.83224, -87.31918 32.83152, -87.31947 32.87512, -87.4212 32.87451, -87.42194 33.00338)))"
"5","Blount",2023-01-11,"Blount County","01009","32.8","18977","39.5","22870","34.9","38.2","40.2","55.4","MULTIPOLYGON (((-86.96336 33.85822, -86.9202 33.87345, -86.92439 33.90922, -86.88602 33.91743, -86.87789 33.9363, -86.86817 33.93277, -86.83621 33.95062, -86.82131 33.94153, -86.82012 33.95753, -86.79202 33.95242, -86.79168 33.96356, -86.764 33.97419, -86.76007 33.99593, -86.74038 34.00039, -86.73669 34.01201, -86.72058 34.03203, -86.70146 34.03963, -86.70095 34.06055, -86.68536 34.05914, -86.69058 34.06379, -86.69175 34.06512, -86.69277 34.06738, -86.69326 34.06818, -86.69504 34.07035, -86.69686 34.07227, -86.69874 34.07509, -86.70055 34.07752, -86.70205 34.07827, -86.70404 34.07972, -86.70454 34.08042, -86.70455 34.08092, -86.70424 34.0815, -86.70247 34.08278, -86.69812 34.08508, -86.69535 34.08714, -86.69443 34.08843, -86.69314 34.09079, -86.69247 34.0924, -86.69124 34.09272, -86.68928 34.09244, -86.68843 34.0926, -86.68775 34.09179, -86.68756 34.09066, -86.68765 34.0891, -86.68868 34.08705, -86.6887 34.08628, -86.68775 34.08406, -86.6877 34.08073, -86.6873 34.07999, -86.68658 34.07957, -86.68524 34.07986, -86.68288 34.08236, -86.6811 34.08329, -86.67727 34.08435, -86.67555 34.08535, -86.67399 34.08769, -86.6733 34.08821, -86.6726 34.08841, -86.67134 34.08793, -86.67072 34.08727, -86.67021 34.08581, -86.67043 34.08448, -86.67 34.08384, -86.66896 34.0837, -86.66779 34.08441, -86.66666 34.08544, -86.66433 34.08704, -86.66026 34.08938, -86.65876 34.09, -86.65682 34.09165, -86.65345 34.10722, -86.62413 34.12221, -86.60115 34.11904, -86.59473 34.13544, -86.56783 34.17022, -86.56385 34.17049, -86.54521 34.18727, -86.5558 34.18913, -86.53935 34.22601, -86.52339 34.22734, -86.51893 34.25232, -86.49966 34.24897, -86.48594 34.26018, -86.45302 34.25932, -86.44413 34.25912, -86.43069 34.23189, -86.41694 34.21489, -86.40902 34.205, -86.3867 34.18227, -86.37831 34.17379, -86.31366 34.11179, -86.30352 34.09907, -86.32266 34.07229, -86.33239 34.0405, -86.33272 33.98611, -86.33934 33.97148, -86.37015 33.93977, -86.32562 33.94015, -86.32215 33.93243, -86.3495 33.90698, -86.34269 33.88647, -86.37753 33.86171, -86.40598 33.8359, -86.43772 33.81998, -86.44528 33.82598, -86.4803 33.81515, -86.51249 33.81079, -86.52177 33.8019, -86.57753 33.80198, -86.5778 33.76532, -86.58811 33.76536, -86.64776 33.7659, -86.64529 33.77301, -86.75914 33.84062, -86.78837 33.84103, -86.88395 33.84324, -86.93654 33.81531, -86.95366 33.8153, -86.9543 33.84486, -86.96336 33.85822)))"
"6","Bullock",2023-01-11,"Bullock County","01011","56.6","5717","72","7271","59.8","64.1","65.1","84.2","MULTIPOLYGON (((-85.99916 32.25054, -85.98655 32.25064, -85.98656 32.27234, -85.91929 32.27438, -85.89869 32.27499, -85.89854 32.30529, -85.87787 32.29153, -85.87606 32.24634, -85.8626 32.23492, -85.85622 32.23197, -85.43354 32.23465, -85.42744 32.14655, -85.41024 32.14665, -85.42744 32.13935, -85.43031 32.05196, -85.42848 32.01495, -85.51264 32.01405, -85.51236 31.99969, -85.58054 31.99695, -85.59255 31.99426, -85.60477 31.96085, -85.64877 31.91161, -85.65767 31.88027, -85.79105 31.88036, -85.79005 31.96725, -85.88435 31.96725, -85.88425 31.98185, -85.89265 31.98905, -85.89365 32.04735, -85.91146 32.04735, -85.91175 32.05475, -85.94628 32.05457, -85.9463 32.06189, -85.95025 32.05455, -85.97591 32.05443, -85.98405 32.04745, -85.99685 32.05105, -85.99786 32.1416, -85.99916 32.25054)))"
"7","Butler",2023-01-11,"Butler County","01013","40.8","7943","51.2","9955","43.3","46.9","48.8","67.6","MULTIPOLYGON (((-86.90894 31.96167, -86.85758 31.96217, -86.4482 31.96463, -86.44662 31.84643, -86.43836 31.84284, -86.44641 31.83166, -86.44598 31.70112, -86.44863 31.65562, -86.49953 31.65525, -86.49921 31.52533, -86.70155 31.52395, -86.83939 31.5252, -86.8663 31.54698, -86.86565 31.55378, -86.87456 31.57799, -86.88811 31.59221, -86.89396 31.61634, -86.90677 31.63267, -86.9059 31.75303, -86.9069 31.83063, -86.90894 31.96167)))"
"8","Calhoun",2023-01-11,"Calhoun County","01015","48.8","55449","58.9","66946","51.8","56","58.6","83","MULTIPOLYGON (((-86.14371 33.70913, -86.12388 33.71079, -86.11659 33.7238, -86.0816 33.74297, -86.06258 33.7599, -86.04436 33.76306, -86.06436 33.79778, -86.05144 33.82413, -86.06527 33.8422, -86.04907 33.8416, -86.04653 33.8526, -86.02127 33.8515, -86.02147 33.8661, -85.99517 33.8649, -85.98754 33.8792, -85.98647 33.8937, -85.96917 33.8929, -85.96917 33.9034, -85.96917 33.9146, -85.93447 33.921, -85.93427 33.9064, -85.89957 33.9064, -85.89967 33.943, -85.88177 33.9503, -85.84639 33.95002, -85.81103 33.94707, -85.74097 33.9353, -85.73897 33.96846, -85.71209 33.96691, -85.52943 33.95598, -85.53009 33.94142, -85.53248 33.88915, -85.60186 33.88975, -85.6019 33.87486, -85.63701 33.87527, -85.63713 33.8465, -85.5852 33.84592, -85.58598 33.8021, -85.60339 33.80234, -85.60347 33.78775, -85.62089 33.78794, -85.62125 33.77351, -85.63805 33.77334, -85.63858 33.64841, -85.65581 33.62717, -85.69068 33.62779, -85.69014 33.61581, -85.72495 33.61354, -85.72452 33.59943, -85.74231 33.60001, -85.74412 33.55607, -85.79605 33.55622, -85.79456 33.58556, -85.87557 33.586, -85.99493 33.58648, -85.99688 33.60092, -86.02174 33.60398, -86.02282 33.62092, -86.0258 33.64628, -86.04958 33.67347, -86.05482 33.67472, -86.0796 33.6758, -86.14556 33.6791, -86.14371 33.70913)))"
"9","Chambers",2023-01-11,"Chambers County","01017","33.1","10999","39.3","13072","35","37.9","39.4","52.8","MULTIPOLYGON (((-85.59318 33.10734, -85.23244 33.10807, -85.22333 33.06258, -85.22193 33.05554, -85.20736 32.98257, -85.20262 32.95884, -85.18881 32.88972, -85.18579 32.87027, -85.18442 32.86141, -85.1844 32.86132, -85.1535 32.84278, -85.16794 32.81161, -85.13332 32.78208, -85.12219 32.77335, -85.13888 32.76006, -85.1301 32.75175, -85.13504 32.74653, -85.28484 32.74513, -85.29322 32.73073, -85.35641 32.7305, -85.37713 32.7303, -85.40455 32.73053, -85.41345 32.74473, -85.43055 32.74503, -85.43055 32.73033, -85.59315 32.72853, -85.59343 32.89727, -85.59318 33.10734)))"
"10","Cherokee",2023-01-11,"Cherokee County","01019","32.3","8462","39.2","10266","33.9","36.5","38.5","56.2","MULTIPOLYGON (((-85.84384 34.24345, -85.82549 34.24011, -85.80842 34.23938, -85.80904 34.25892, -85.77416 34.25909, -85.67528 34.3434, -85.67217 34.35184, -85.66415 34.36194, -85.63665 34.36662, -85.62034 34.38698, -85.62751 34.39592, -85.62496 34.3973, -85.61667 34.39341, -85.60068 34.42093, -85.57966 34.43971, -85.58392 34.45796, -85.58033 34.47031, -85.57034 34.46776, -85.57698 34.48354, -85.56039 34.48991, -85.55936 34.50125, -85.5444 34.50008, -85.53343 34.51408, -85.51373 34.52419, -85.51372 34.52417, -85.51212 34.51825, -85.5084 34.50121, -85.50247 34.47453, -85.50233 34.47395, -85.48461 34.39289, -85.47404 34.34454, -85.47047 34.32824, -85.46211 34.28639, -85.45872 34.26944, -85.4581 34.26573, -85.4554 34.25285, -85.45508 34.25069, -85.4295 34.1251, -85.42825 34.1144, -85.42188 34.08082, -85.42026 34.07228, -85.40678 34.00231, -85.40595 34.0001, -85.39887 33.96413, -85.42563 33.95707, -85.49529 33.95691, -85.49582 33.94239, -85.53009 33.94142, -85.52943 33.95598, -85.71209 33.96691, -85.73897 33.96846, -85.73714 33.9892, -85.79707 34.10018, -85.79101 34.1251, -85.81197 34.1251, -85.8332 34.10994, -85.84136 34.1107, -85.84362 34.20001, -85.84384 34.24345)))"
