Geometry,County,Total cases,Total deaths,Cases this week,Deaths this week,"Cases this week per 100,000","Deaths this week per 100,000",Change in cases this week,Positivity rate this week,Community transmission level,Population,"Total cases per 100,000","Total deaths per 100,000"
"{""type"":""Polygon"",""coordinates"":[[[-86.91759499999999,32.664169],[-86.816574,32.660117],[-86.71338999999999,32.661732],[-86.714219,32.705694],[-86.413116,32.707386],[-86.412233,32.528729999999996],[-86.411172,32.409937],[-86.425072,32.402437],[-86.444721,32.399840999999995],[-86.45561599999999,32.405806999999996],[-86.462497,32.378135],[-86.476703,32.364418],[-86.492772,32.361587],[-86.496774,32.344437],[-86.53253099999999,32.338775],[-86.539251,32.3452],[-86.542537,32.363517],[-86.570551,32.375006],[-86.581873,32.375019],[-86.59533499999999,32.361345],[-86.614841,32.374266],[-86.61345299999999,32.398584],[-86.61800000000001,32.405716999999996],[-86.64541,32.402296],[-86.653419,32.397247],[-86.655597,32.376146999999996],[-86.683537,32.353395],[-86.711337,32.360766999999996],[-86.719028,32.372059],[-86.717897,32.402814],[-86.727181,32.404497],[-86.74998099999999,32.389105],[-86.774765,32.39515],[-86.781354,32.392494],[-86.782218,32.370287999999995],[-86.773163,32.340728],[-86.791073,32.314611],[-86.810802,32.307573999999995],[-86.820273,32.315007],[-86.820921,32.333239999999996],[-86.81491199999999,32.340803],[-86.807378,32.354355999999996],[-86.815399,32.370821],[-86.827244,32.378816],[-86.843758,32.400416],[-86.84544799999999,32.415416],[-86.824292,32.423918],[-86.849898,32.438325],[-86.86708999999999,32.439188],[-86.860056,32.450860999999996],[-86.890581,32.502974],[-86.88967799999999,32.510208],[-86.90368199999999,32.531087],[-86.906688,32.543521999999996],[-86.898304,32.567687],[-86.905677,32.601002],[-86.911962,32.612192],[-86.910859,32.629087999999996],[-86.921145,32.65623],[-86.91759499999999,32.664169]]]}",Autauga County,19389,230,56,0,99.7,0,-44.6%,14.8%,HIGH,58805,32972,391
"{""type"":""Polygon"",""coordinates"":[[[-87.972869,31.162694],[-87.943748,31.161341],[-87.94658799999999,31.192929999999997],[-87.925679,31.186123],[-87.913637,31.187355999999998],[-87.90623699999999,31.199161999999998],[-87.88958099999999,31.204348999999997],[-87.879167,31.197996],[-87.86977399999999,31.215764999999998],[-87.859946,31.204632999999998],[-87.848503,31.208378],[-87.863593,31.226111999999997],[-87.86006599999999,31.235400000000002],[-87.83592,31.231053],[-87.844628,31.239334999999997],[-87.837105,31.247253999999998],[-87.849284,31.260006999999998],[-87.833698,31.259076],[-87.828313,31.275304],[-87.818219,31.278623],[-87.801502,31.269811999999998],[-87.785523,31.275789999999997],[-87.785775,31.282943999999997],[-87.808973,31.306638],[-87.80559099999999,31.318694999999998],[-87.795633,31.302736999999997],[-87.77158,31.293719],[-87.765152,31.297345999999997],[-87.717944,31.303307],[-87.701714,31.285228999999998],[-87.690614,31.282916],[-87.676419,31.261992],[-87.654815,31.249654],[-87.632226,31.242931],[-87.61589,31.244457999999998],[-87.615431,30.997360999999998],[-87.598829,30.997455],[-87.58886199999999,30.96579],[-87.59160899999999,30.95167],[-87.60167899999999,30.935748999999998],[-87.62026999999999,30.887404],[-87.634788,30.866706999999998],[-87.626224,30.846663999999997],[-87.600792,30.821288],[-87.57721599999999,30.808778],[-87.57175199999999,30.800199],[-87.551311,30.78569],[-87.535308,30.758436],[-87.532557,30.743198999999997],[-87.511928,30.733767999999998],[-87.501502,30.721092],[-87.481899,30.717314],[-87.468085,30.700208],[-87.451306,30.699590999999998],[-87.43640099999999,30.688419999999997],[-87.406356,30.674436999999998],[-87.40332699999999,30.658033],[-87.396818,30.65485],[-87.393294,30.627218],[-87.39877,30.605396],[-87.406086,30.603258],[-87.408018,30.583700999999998],[-87.41792799999999,30.562402],[-87.434883,30.549433999999998],[-87.4471,30.522516],[-87.44770199999999,30.510458],[-87.428578,30.489696],[-87.43557799999999,30.480496],[-87.414677,30.457296],[-87.39687699999999,30.450597],[-87.370768,30.446865],[-87.369383,30.431948],[-87.407777,30.408897999999997],[-87.426377,30.409098],[-87.44067799999999,30.391498],[-87.43847799999999,30.381798],[-87.449378,30.370099],[-87.450778,30.346999],[-87.461078,30.3353],[-87.49998,30.328957],[-87.50558,30.3111],[-87.483679,30.304800999999998],[-87.45007799999999,30.3111],[-87.452378,30.300200999999998],[-87.51838,30.283901],[-87.518346,30.229505999999997],[-87.62501999999999,30.20594],[-87.647824,30.199211],[-87.718002,30.19176],[-87.807153,30.177377999999997],[-87.874991,30.177193],[-87.92575599999999,30.179561],[-87.98088,30.176520999999997],[-88.003618,30.173416999999997],[-88.00979699999999,30.164171999999997],[-88.037309,30.146561],[-88.037112,30.222433],[-88.016207,30.404480999999997],[-88.00084199999999,30.53108],[-87.990765,30.544736999999998],[-87.987839,30.637148999999997],[-87.99196099999999,30.670361999999997],[-88.008943,30.682019999999998],[-88.000997,30.698289],[-88.01489699999999,30.722989],[-88.014218,30.737935],[-88.026319,30.753358],[-88.022198,30.774486999999997],[-87.990601,30.794155],[-87.987065,30.811445],[-87.944546,30.827046],[-87.954476,30.849407999999997],[-87.980971,30.86187],[-87.986931,30.875183999999997],[-87.98126099999999,30.886895],[-87.95456899999999,30.911497999999998],[-87.949901,30.926651999999997],[-87.92429,30.935405],[-87.92833,30.946261],[-87.940546,30.951901],[-87.943552,30.961772999999997],[-87.965187,30.967783999999998],[-87.95661899999999,30.989777999999998],[-87.96480000000001,31.008187],[-87.95050599999999,31.022088999999998],[-87.957352,31.029367999999998],[-87.941152,31.048161],[-87.948702,31.067859],[-87.96324,31.068032],[-87.97622199999999,31.089534999999998],[-87.94657699999999,31.121685],[-87.939696,31.145805],[-87.966284,31.148260999999998],[-87.972869,31.162694]]]}",Baldwin County,68764,722,197,0,85.9,0,-40.5%,16.8%,HIGH,231767,29669,312
"{""type"":""Polygon"",""coordinates"":[[[-85.410241,32.146651],[-85.257747,32.148251],[-85.259778,32.13854],[-85.236261,32.123664999999995],[-85.22912,32.102706999999995],[-85.195747,32.081843],[-85.19141499999999,32.064594],[-85.18506699999999,32.061707999999996],[-85.056029,32.063055],[-85.05803399999999,32.033606],[-85.04886599999999,32.023007],[-85.06823,31.991857],[-85.065929,31.971158],[-85.08682999999999,31.957758],[-85.07893,31.940158999999998],[-85.113131,31.911859],[-85.10822999999999,31.904259999999997],[-85.117031,31.89286],[-85.132931,31.89306],[-85.128731,31.876559999999998],[-85.140731,31.857460999999997],[-85.141831,31.839260999999997],[-85.132131,31.827962],[-85.132931,31.792362999999998],[-85.14112999999999,31.780462999999997],[-85.12633,31.768863],[-85.127329,31.762563],[-85.148434,31.773467999999998],[-85.159134,31.772067999999997],[-85.165379,31.760006999999998],[-85.18831399999999,31.746440999999997],[-85.206034,31.741812999999997],[-85.209513,31.710473999999998],[-85.216076,31.702409],[-85.334142,31.705937],[-85.416038,31.706664],[-85.416437,31.619466],[-85.499956,31.620267],[-85.585439,31.617565],[-85.748251,31.618047999999998],[-85.73685499999999,31.623718],[-85.716146,31.660504999999997],[-85.717911,31.698031999999998],[-85.706122,31.707244999999997],[-85.705108,31.731714999999998],[-85.695602,31.747833999999997],[-85.674117,31.758626],[-85.66623,31.772876999999998],[-85.667056,31.793428],[-85.674511,31.819594],[-85.668309,31.834486],[-85.67759099999999,31.856779999999997],[-85.657668,31.880274999999997],[-85.64876699999999,31.911614999999998],[-85.60476899999999,31.960852],[-85.593572,31.992700000000003],[-85.587344,31.997355],[-85.51236,31.999693999999998],[-85.512643,32.014055],[-85.42847599999999,32.014950999999996],[-85.430313,32.051961999999996],[-85.427442,32.13935],[-85.41004199999999,32.139451],[-85.410241,32.146651]]]}",Barbour County,7258,103,47,0,191.1,0,-31.9%,5.9%,HIGH,25223,28775,408
"{""type"":""Polygon"",""coordinates"":[[[-87.065738,33.246907],[-87.02684599999999,33.246459],[-87.025596,33.165794999999996],[-87.003868,33.162008],[-86.974369,33.161707],[-86.969563,33.158135],[-86.969291,33.098397],[-86.950876,33.098585],[-86.95165899999999,33.078741],[-86.93399199999999,33.078797],[-86.933972,33.064059],[-86.919969,33.064321],[-86.916217,33.057145999999996],[-86.898596,33.057058999999995],[-86.898519,33.04981],[-86.881182,33.049901],[-86.87686599999999,33.049925],[-86.87611799999999,32.836264],[-86.95203099999999,32.837826],[-87.01915699999999,32.837033999999996],[-87.155294,32.835285999999996],[-87.223663,32.835149],[-87.23328599999999,32.832239],[-87.31918399999999,32.831522],[-87.319473,32.875124],[-87.4212,32.874508],[-87.420132,32.902605],[-87.421936,33.003378999999995],[-87.318539,33.006178999999996],[-87.311577,33.093933],[-87.281945,33.13306],[-87.199317,33.130657],[-87.199153,33.196554],[-87.15207099999999,33.232484],[-87.121871,33.235842999999996],[-87.121511,33.221474],[-87.104101,33.221457],[-87.07664199999999,33.246831],[-87.065738,33.246907]]]}",Bibb County,7889,109,24,0,108.4,0,-36.8%,12.7%,HIGH,22293,35388,489
"{""type"":""Polygon"",""coordinates"":[[[-86.45302,34.259316999999996],[-86.40901699999999,34.205002],[-86.303516,34.099073],[-86.322662,34.072288],[-86.332388,34.046479999999995],[-86.332723,33.986109],[-86.339337,33.971484],[-86.37015199999999,33.939769999999996],[-86.325622,33.940146999999996],[-86.32215,33.932427],[-86.34950099999999,33.906982],[-86.339338,33.894843],[-86.34811499999999,33.880871],[-86.366008,33.872868],[-86.39151199999999,33.852725],[-86.405981,33.835896],[-86.43771699999999,33.819981],[-86.44528,33.825977],[-86.480295,33.815151],[-86.512492,33.810794],[-86.521771,33.801901],[-86.577528,33.801977],[-86.577799,33.765316],[-86.64776499999999,33.765896],[-86.64529,33.773012],[-86.75914399999999,33.840617],[-86.88394699999999,33.843237],[-86.936537,33.81531],[-86.95366399999999,33.815297],[-86.95430499999999,33.844862],[-86.96296,33.844865],[-86.963358,33.858221],[-86.962111,33.867691],[-86.947656,33.861911],[-86.920198,33.873453],[-86.924387,33.909222],[-86.886022,33.917432],[-86.886218,33.932989],[-86.860451,33.934351],[-86.836215,33.95062],[-86.821315,33.941531],[-86.820117,33.957526],[-86.793914,33.952059],[-86.79167799999999,33.963558],[-86.763999,33.974187],[-86.760071,33.995934],[-86.74037799999999,34.000386],[-86.744225,34.007056],[-86.722916,34.019686],[-86.72057699999999,34.032032],[-86.709746,34.029047],[-86.701465,34.039632999999995],[-86.70951,34.047720999999996],[-86.695668,34.061111],[-86.68536499999999,34.05914],[-86.704244,34.081497],[-86.6883,34.092601],[-86.687697,34.080735],[-86.65682,34.091646],[-86.653448,34.107223],[-86.624127,34.122211],[-86.613801,34.113749],[-86.601147,34.11904],[-86.60023,34.131932],[-86.587614,34.138331],[-86.57396899999999,34.165436],[-86.545211,34.18727],[-86.555796,34.189129],[-86.539352,34.226006],[-86.523387,34.227337999999996],[-86.51960299999999,34.251765999999996],[-86.499658,34.248968],[-86.48594299999999,34.260185],[-86.45302,34.259316999999996]]]}",Blount County,18130,261,62,0,107.1,0,-29.5%,20.6%,HIGH,59134,30659,441
"{""type"":""Polygon"",""coordinates"":[[[-85.996853,32.051049],[-85.999157,32.250543],[-85.98654599999999,32.250636],[-85.98655699999999,32.272342],[-85.919293,32.274381999999996],[-85.89868899999999,32.274986999999996],[-85.898844,32.305171],[-85.87786799999999,32.291528],[-85.874753,32.267775],[-85.87606099999999,32.246344],[-85.856218,32.231975],[-85.777895,32.233347],[-85.553647,32.233347],[-85.433543,32.234648],[-85.427441,32.146550999999995],[-85.410241,32.146651],[-85.41004199999999,32.139451],[-85.427442,32.13935],[-85.430313,32.051961999999996],[-85.42847599999999,32.014950999999996],[-85.512643,32.014055],[-85.51236,31.999693999999998],[-85.587344,31.997355],[-85.593572,31.992700000000003],[-85.60476899999999,31.960852],[-85.64876699999999,31.911614999999998],[-85.657668,31.880274999999997],[-85.79104699999999,31.880357],[-85.790048,31.967253999999997],[-85.88435,31.967253],[-85.88425,31.981852],[-85.892651,31.989053],[-85.893652,32.047351],[-85.911458,32.047354999999996],[-85.911755,32.054752],[-85.975912,32.054425],[-85.984054,32.047453],[-85.996853,32.051049]]]}",Bullock County,2956,54,17,0,170.4,0,88.9%,1.5%,HIGH,10357,28541,521
"{""type"":""Polygon"",""coordinates"":[[[-86.90589899999999,31.753034999999997],[-86.906899,31.830627999999997],[-86.90893899999999,31.961672999999998],[-86.85758299999999,31.962166999999997],[-86.749979,31.96202],[-86.61361099999999,31.963921],[-86.499963,31.96361],[-86.44819799999999,31.964629],[-86.446619,31.846428999999997],[-86.438363,31.84284],[-86.446411,31.831660999999997],[-86.445978,31.70112],[-86.448635,31.655617],[-86.499533,31.655247],[-86.499213,31.525330999999998],[-86.574692,31.524015],[-86.701554,31.523946],[-86.80362699999999,31.52386],[-86.83938599999999,31.525204],[-86.86630199999999,31.546981],[-86.87456499999999,31.577993],[-86.888106,31.592207],[-86.893959,31.616339999999997],[-86.906769,31.632671],[-86.90589899999999,31.753034999999997]]]}",Butler County,6347,130,21,0,107.7,0,-48.8%,22.7%,HIGH,19051,33316,682
"{""type"":""Polygon"",""coordinates"":[[[-85.738975,33.96846],[-85.529432,33.95598],[-85.53009399999999,33.941423],[-85.532482,33.889151999999996],[-85.601858,33.88975],[-85.601899,33.874865],[-85.637014,33.875944],[-85.637126,33.846497],[-85.585201,33.84592],[-85.585985,33.802095],[-85.603391,33.802344],[-85.60346899999999,33.787755],[-85.62089,33.787943999999996],[-85.621245,33.773508],[-85.638049,33.773339],[-85.638579,33.648413],[-85.64703999999999,33.648772],[-85.65581,33.627165999999995],[-85.69068399999999,33.627789],[-85.689954,33.612909],[-85.724953,33.613538999999996],[-85.72451699999999,33.59943],[-85.742308,33.600006],[-85.744118,33.556075],[-85.796054,33.556219999999996],[-85.79455899999999,33.585564999999995],[-85.950932,33.585713999999996],[-85.994935,33.586475],[-85.996881,33.600924],[-86.02170699999999,33.601172],[-86.02054799999999,33.614200000000004],[-86.02640099999999,33.647197],[-86.04569599999999,33.662954],[-86.050669,33.67459],[-86.145562,33.679097999999996],[-86.146225,33.702176],[-86.134812,33.716054],[-86.123882,33.710789],[-86.116587,33.723802],[-86.09916199999999,33.736438],[-86.081597,33.742973],[-86.062578,33.759895],[-86.043993,33.763594999999995],[-86.048671,33.778698999999996],[-86.064364,33.797775],[-86.064944,33.808944],[-86.051439,33.824134],[-86.065272,33.842197999999996],[-86.049072,33.841598],[-86.048772,33.852698],[-86.021271,33.851498],[-86.02147099999999,33.866098],[-85.99516899999999,33.864897],[-85.99497,33.879598],[-85.98637,33.879197999999995],[-85.98647,33.893698],[-85.96916999999999,33.892897999999995],[-85.96916999999999,33.914598],[-85.951769,33.913598],[-85.951769,33.920898],[-85.93446899999999,33.920998],[-85.934269,33.906397999999996],[-85.899568,33.906399],[-85.89966799999999,33.942999],[-85.881868,33.943099],[-85.881768,33.950299],[-85.846387,33.950019999999995],[-85.84617399999999,33.95726],[-85.811032,33.947067],[-85.740968,33.935300999999995],[-85.738975,33.96846]]]}",Calhoun County,40377,672,125,0,110.2,0,-41%,21.7%,HIGH,116441,34676,577
"{""type"":""Polygon"",""coordinates"":[[[-85.593177,33.10734],[-85.51974899999999,33.10866],[-85.232378,33.108077],[-85.19984199999999,32.945124],[-85.184131,32.870525],[-85.183993,32.860492],[-85.170099,32.852497],[-85.16230999999999,32.856479],[-85.154584,32.839805],[-85.168532,32.827142],[-85.16793899999999,32.811611],[-85.150995,32.793490999999996],[-85.14161399999999,32.791357999999995],[-85.122326,32.774383],[-85.136309,32.771243999999996],[-85.14298,32.761654],[-85.135038,32.74653],[-85.284843,32.745131],[-85.285043,32.730731],[-85.404547,32.730531],[-85.41344699999999,32.744729],[-85.430548,32.74503],[-85.430549,32.730329999999995],[-85.490662,32.730629],[-85.59315099999999,32.72853],[-85.59365299999999,32.835026],[-85.593054,32.946923999999996],[-85.593177,33.10734]]]}",Chambers County,10599,170,38,0,115.6,0,-53.7%,1.6%,HIGH,34772,30481,489
"{""type"":""Polygon"",""coordinates"":[[[-85.843617,34.200006],[-85.843801,34.244595],[-85.80841699999999,34.239377],[-85.809045,34.258921],[-85.774165,34.259094],[-85.675283,34.343396],[-85.664154,34.361937],[-85.636645,34.366622],[-85.620171,34.387161],[-85.62651699999999,34.39776],[-85.614789,34.394653],[-85.60068299999999,34.420926],[-85.579656,34.439709],[-85.583917,34.457961],[-85.580325,34.470306],[-85.570342,34.467763999999995],[-85.57698099999999,34.483543],[-85.560386,34.489909],[-85.559365,34.501247],[-85.54440000000001,34.500085],[-85.533434,34.514083],[-85.513612,34.523824999999995],[-85.48994499999999,34.418619],[-85.46220699999999,34.286386],[-85.42947,34.125096],[-85.421852,34.080822],[-85.398837,33.964129],[-85.42562699999999,33.957069],[-85.495289,33.95691],[-85.49582,33.942394],[-85.53009399999999,33.941423],[-85.529432,33.95598],[-85.738975,33.96846],[-85.73713699999999,33.989202999999996],[-85.797071,34.100179],[-85.791007,34.125096],[-85.811967,34.125096],[-85.83320499999999,34.109944],[-85.84146799999999,34.111095999999996],[-85.843617,34.200006]]]}",Cherokee County,6628,89,29,0,110.3,0,-32.6%,28.6%,HIGH,24971,26543,356
